Date,Time,Start Time (ISO),Matchup,game_id,market,market_class,side,lookup_side,sim_prob,fair_odds,market_prob,market_fv,consensus_prob,pricing_method,books_used,model_edge,market_odds,ev_percent,blended_prob,blended_fv,hours_to_game,stake,cumulative_stake,entry_type,segment,segment_label,best_book,date_simulated,result
,,,,2025-06-05-HOU@PIT,spreads_1st_5_innings,alternate,PIT +1.5,PIT +1.5,0.7569,-311.35,0.6603,,0.660258,devig,"fanduel, betmgm, draftkings",0.0966,-200,8.73,0.7248,-263.43,9.59,2.18,,first,derivative,derivative,espnbet,2025-06-05 9:05,Loss
,,,,2025-06-05-HOU@PIT,totals_1st_1_innings,mainline,Over 0.5,Over 0.5,0.5212,-108.86,0.4325,,0.432541,devig,"pinnacle, betonlineag, fanduel, betmgm",0.0887,124,7.23,0.4787,108.9,8.47,1.46,,first,derivative,derivative,pinnacle,2025-06-05 10:12,Loss
,,,,2025-06-05-HOU@PIT,totals_1st_5_innings,alternate,Under 4.5,Under 4.5,0.5056,-102.27,0.6354,,0.635352,devig,"pinnacle, fanduel, betmgm, draftkings",-0.1298,-150,5.76,0.6345,-173.62,0.58,1.08,,first,derivative,derivative,hardrockbet,2025-06-05 18:56,Loss
,,,,2025-06-05-KC@STL,spreads,mainline,KC -1.5,KC -1.5,0.4269,134.25,0.3614,,0.361432,devig,"fanduel, draftkings, mybookieag",0.0655,176,8.77,0.3941,153.74,10.4,1.25,,first,full_game,mainline,fanduel,2025-06-05 9:21,Win
,,,,2025-06-05-KC@STL,spreads_1st_5_innings,mainline,KC +0.5,KC +0.5,0.7166,-252.86,0.5749,,0.574871,devig,"betonlineag, betmgm",0.1417,-145,14.32,0.6766,-209.2,10.06,5.19,,first,derivative,derivative,windcreek,2025-06-05 9:41,Win
,,,,2025-06-05-NYM@LAD,spreads_1st_5_innings,alternate,LAD +0.5,LAD +0.5,0.7486,-297.77,0.6081,,0.608142,devig,"pinnacle, fanduel, betmgm, draftkings",0.1405,-155,9.69,0.6667,-200.03,7.78,1.88,,first,derivative,derivative,hardrockbet,2025-06-05 8:24,Loss
,,,,2025-06-05-TEX@TB,totals_1st_5_innings,alternate,Under 3.5,Under 3.5,0.4436,125.43,0.343,,0.342995,devig,"fanduel, betmgm, draftkings",0.1006,182,18.59,0.4205,137.8,10.68,1.27,,first,derivative,derivative,fanduel,2025-06-05 8:55,Win
,,,,2025-06-05-TEX@TB,spreads_1st_3_innings,mainline,TEX +0.5,TEX +0.5,0.7794,-353.31,0.5534,,0.553441,devig,fanduel,0.226,-144,15.44,0.6813,-213.78,8.79,5.56,,first,derivative,derivative,fanduel,2025-06-05 10:48,Win
,,,,2025-06-05-TEX@TB,h2h,mainline,TEX,TEX ,0.552,-123.21,0.4313,,0.431254,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings, williamhill, mybookieag",0.1207,131,8.52,0.4698,112.87,8.19,1.63,,first,full_game,mainline,"{'fanduel': 124, 'sport888': 120, 'betonlineag': 118, 'lowvig': 121, 'williamhill_us': 122, 'nordicbet': 122, 'betsson': 125, 'onexbet': 126, 'draftkings': 124, 'espnbet': 125, 'winamax_fr': 110, 'williamhill': 125, 'gtbets': 120, 'mybookieag': 126, 'betmgm': 120, 'pinnacle': 131, 'windcreek': 120, 'fanatics': 115, 'betus': 125, 'matchbook': 130, 'bovada': 123, 'ballybet': 125, 'betparx': 125, 'betrivers': 125, 'marathonbet': 124, 'hardrockbet': 125, 'tipico_de': 120, 'everygame': 125, 'betfair_ex_eu': 124, 'coolbet': 125}",2025-06-05 11:24,Loss
,,,,2025-06-06-ATL@SF,spreads_1st_5_innings,derivative,SF -0.5,SF -0.5,0.46,137.28,0.361,170,0.421,devig,draftkings,0.099,170,13.79,0.421,137.28,2.2,1.01,,first,derivative,derivative,draftkings,2025-06-06,Win
,,,,2025-06-06-ATL@SF,totals_1st_3_innings,derivative,Over 2.5,Over 2.5,0.533,100.98,0.441,125,0.498,devig,betrivers,0.087,125,11.95,0.498,100.98,2.5,2.39,,first,derivative,derivative,betrivers,2025-06-06,Win
